symbol,initial_equity,final_equity,net_pnl,trades,wins,losses,win_rate_pct,profit_factor,expectancy_R,max_drawdown_pct
ADAUSDm,10000.0,22482.94534130068,12482.945341300681,657,237,420,36.07305936073059,1.0369446097472053,0.0821917808219178,-77.59607265218119
MATICUSDm,10000.0,7796.968464082465,-2203.0315359175347,580,193,387,33.275862068965516,0.9899453468266227,-0.0017241379310344827,-92.6608502438899
XRPUSDm,10000.0,5242.779750258093,-4757.220249741907,632,204,428,32.278481012658226,0.967451093455978,-0.03164556962025317,-88.20572779176533
DOGEUSDm,10000.0,4600.178957203858,-5399.821042796142,612,195,417,31.862745098039213,0.9422143528845823,-0.04411764705882353,-84.40386121561487
BCHUSDm,10000.0,984.8195631697645,-9015.180436830236,653,183,470,28.024502297090354,0.8840361218538082,-0.15926493108728942,-96.80891322909702
ETHUSDm,10000.0,1216.7797816691327,-8783.220218330867,619,175,444,28.27140549273021,0.8415854086465069,-0.1518578352180937,-94.48165235616217
USOILm,10000.0,390.16215836126594,-9609.837841638735,590,146,444,24.74576271186441,0.8400701722290514,-0.2576271186440678,-98.39814413981792
USDCADm,10000.0,2963.324172008536,-7036.675827991464,572,174,398,30.419580419580424,0.8352854390392963,-0.08741258741258741,-95.37694520425327
BTCUSDm,10000.0,926.7879155581071,-9073.212084441893,556,149,407,26.798561151079138,0.8253612010573927,-0.1960431654676259,-94.38200655399419
EURCHFm,10000.0,33.33167594516048,-9966.66832405484,650,125,525,19.230769230769234,0.8186814420029297,-0.4230769230769231,-99.87586068443197
DOTUSDm,10000.0,2488.44568941932,-7511.55431058068,613,185,428,30.179445350734095,0.8161898040286739,-0.09461663947797716,-90.14260606607041
HK50m,10000.0,1199.6039109013025,-8800.396089098698,655,187,468,28.549618320610687,0.791169738820348,-0.1435114503816794,-91.19573986039859
AUDCHFm,10000.0,190.10145252616044,-9809.89854747384,605,139,466,22.975206611570247,0.7647654849205892,-0.31074380165289256,-98.91534457166378
CADJPYm,10000.0,2684.9645789278557,-7315.035421072144,571,172,399,30.122591943957964,0.7631566701548592,-0.09632224168126094,-88.87159495360095
SOLUSDm,10000.0,2047.745496500058,-7952.254503499942,605,179,426,29.586776859504134,0.7498878167887937,-0.11239669421487604,-91.4941530465922
LTCUSDm,10000.0,339.91568331286345,-9660.084316687136,588,143,445,24.31972789115646,0.7392904912745101,-0.27040816326530615,-97.9707386698074
USDCHFm,10000.0,426.54973203793395,-9573.450267962065,615,156,459,25.365853658536587,0.7160862842346528,-0.23902439024390243,-97.94168380424318
GBPAUDm,10000.0,126.30532069618351,-9873.694679303817,587,126,461,21.465076660988075,0.7141104507950831,-0.35604770017035775,-99.05608995354363
CADCHFm,10000.0,183.00653793915112,-9816.99346206085,601,137,464,22.795341098169715,0.7138777022907495,-0.3161397670549085,-98.36728600526169
EURCADm,10000.0,2091.8818275905287,-7908.118172409471,551,161,390,29.219600725952816,0.7066023904881068,-0.12341197822141561,-88.97656742724263
NZDJPYm,10000.0,716.1061172180468,-9283.893882781953,557,145,412,26.032315978456015,0.705301932456093,-0.21903052064631956,-96.14048473077655
NZDUSDm,10000.0,284.07623456451626,-9715.923765435484,591,141,450,23.85786802030457,0.6865020656206738,-0.28426395939086296,-98.13270358408174
AUDNZDm,10000.0,759.0972250982583,-9240.902774901742,610,164,446,26.885245901639344,0.6654482777949493,-0.19344262295081968,-93.06480996110054
CHFJPYm,10000.0,507.94965583786984,-9492.05034416213,574,145,429,25.261324041811843,0.6646229927802074,-0.2421602787456446,-98.99598633256606
GBPCADm,10000.0,1082.9270707610442,-8917.072929238955,563,154,409,27.353463587921844,0.6607229283661791,-0.17939609236234458,-90.86466552861714
EURUSDm,10000.0,412.066307029741,-9587.933692970259,552,134,418,24.27536231884058,0.6537352346928985,-0.2717391304347826,-96.68499101808317
USDJPYm,10000.0,490.18286404073746,-9509.817135959263,614,158,456,25.732899022801302,0.6521775403260694,-0.2280130293159609,-97.49277507206085
IN50m,10000.0,1682.674910609891,-8317.32508939011,400,106,294,26.5,0.6105587950405625,-0.205,-88.6189760937931
GBPUSDm,10000.0,140.3942446777506,-9859.605755322249,570,122,448,21.403508771929825,0.5955281356272992,-0.35789473684210527,-99.01949584476017
AUDCADm,10000.0,355.1915124416695,-9644.80848755833,577,140,437,24.263431542461007,0.5827278357140139,-0.2720970537261698,-96.44808487558329
GBPCHFm,10000.0,24.35512912942904,-9975.64487087057,642,117,525,18.22429906542056,0.5752445578624893,-0.4532710280373832,-99.83170935052898
STOXX50m,10000.0,77.679368673919,-9922.320631326082,564,110,454,19.50354609929078,0.5737270394774558,-0.4148936170212766,-99.39550910411715
NZDCADm,10000.0,87.68983100374473,-9912.310168996255,558,110,448,19.71326164874552,0.5623234709626471,-0.40860215053763443,-99.12310168996254
US30m,10000.0,265.77450460687476,-9734.225495393126,559,129,430,23.076923076923077,0.5606014184963837,-0.3076923076923077,-98.03499151438369
EURAUDm,10000.0,158.67458087991977,-9841.32541912008,561,121,440,21.568627450980394,0.5434358658892273,-0.35294117647058826,-98.41325419120079
JP225m,10000.0,286.13862805147414,-9713.861371948526,673,169,504,25.11144130757801,0.5416411070496483,-0.24665676077265974,-97.58016762125989
US500m,10000.0,57.990208793116466,-9942.009791206883,602,118,484,19.601328903654487,0.5280587886697642,-0.4119601328903654,-99.47394811779951
